tick | mnemonic
0210 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0211 | dr[22:0] -> output address
0212 | acc -> output
0213 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0214 | dr[22:0] + pc -> ar
0215 | mem(ar)[31:0] -> dr
0216 | dr[31:0] -> acc
0217 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0218 | acc - 1 -> acc
0219 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0220 | dr[22:0] + pc -> ar
0221 | acc[31:0] -> mem(ar)
0222 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0223 | if Z set: jmp @fetch
0224 | pc + extended(dr[22:0]) -> pc
0225 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0226 | dr[22:0] -> input address
0227 | input -> acc
0228 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0229 | dr[22:0] -> output address
0230 | acc -> output
0231 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0232 | dr[22:0] + pc -> ar
0233 | mem(ar)[31:0] -> dr
0234 | dr[31:0] -> acc
0235 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0236 | acc - 1 -> acc
0237 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0238 | dr[22:0] + pc -> ar
0239 | acc[31:0] -> mem(ar)
0240 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0241 | if Z set: jmp @fetch
0242 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0243 | halt
-------------------------------------------------
Program executed after 0243 ticks. Final state:
in: 
[]
out: 
['c', 's', 'a', ' ', 'i', 's', ' ', 'g', 'r', 'e', 'a', 't', '!']
memory_dump:
  [0x01fc] 00 00 00 00 12 80 00 00 15 80 00 1c 07 ff ff 8a
  [0x020c] 12 80 00 00 13 80 00 00 03 ff ff 7e 02 80 00 00
  [0x021c] 07 ff ff 76 16 ff ff e8 00 80 00 00 00 00 00 00
  [0x022c] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
