tick | mnemonic
0208 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0209 | if Z set: jmp @fetch
0210 | pc + extended(dr[22:0]) -> pc
0211 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0212 | dr[22:0] -> ar
0213 | mem(ar)[31:0] -> dr
0214 | dr[22:0] -> ar
0215 | mem(ar)[7:0] -> dr
0216 | dr[7:0] -> acc
0217 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0218 | dr[22:0] -> output address
0219 | acc -> output
0220 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0221 | dr[22:0] + pc -> ar
0222 | mem(ar)[31:0] -> dr
0223 | dr[31:0] -> acc
0224 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0225 | acc + 1 -> acc
0226 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0227 | dr[22:0] + pc -> ar
0228 | acc[31:0] -> mem(ar)
0229 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0230 | acc - extended(dr[22:0]) -> acc
0231 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0232 | acc - extended(dr[22:0]) -> acc
0233 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0234 | dr[22:0] + pc -> ar
0235 | mem(ar)[31:0] -> dr
0236 | acc - mem(ar) -> acc
0237 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0238 | if Z set: jmp @fetch
0239 | pc + extended(dr[22:0]) -> pc
0240 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0241 | dr[22:0] -> ar
0242 | mem(ar)[31:0] -> dr
0243 | dr[22:0] -> ar
0244 | mem(ar)[7:0] -> dr
0245 | dr[7:0] -> acc
0246 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0247 | dr[22:0] -> output address
0248 | acc -> output
0249 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0250 | dr[22:0] + pc -> ar
0251 | mem(ar)[31:0] -> dr
0252 | dr[31:0] -> acc
0253 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0254 | acc + 1 -> acc
0255 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0256 | dr[22:0] + pc -> ar
0257 | acc[31:0] -> mem(ar)
0258 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0259 | acc - extended(dr[22:0]) -> acc
0260 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0261 | acc - extended(dr[22:0]) -> acc
0262 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0263 | dr[22:0] + pc -> ar
0264 | mem(ar)[31:0] -> dr
0265 | acc - mem(ar) -> acc
0266 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0267 | if Z set: jmp @fetch
0268 | pc + extended(dr[22:0]) -> pc
0269 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0270 | dr[22:0] -> ar
0271 | mem(ar)[31:0] -> dr
0272 | dr[22:0] -> ar
0273 | mem(ar)[7:0] -> dr
0274 | dr[7:0] -> acc
0275 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0276 | dr[22:0] -> output address
0277 | acc -> output
0278 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0279 | dr[22:0] + pc -> ar
0280 | mem(ar)[31:0] -> dr
0281 | dr[31:0] -> acc
0282 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0283 | acc + 1 -> acc
0284 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0285 | dr[22:0] + pc -> ar
0286 | acc[31:0] -> mem(ar)
0287 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0288 | acc - extended(dr[22:0]) -> acc
0289 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0290 | acc - extended(dr[22:0]) -> acc
0291 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0292 | dr[22:0] + pc -> ar
0293 | mem(ar)[31:0] -> dr
0294 | acc - mem(ar) -> acc
0295 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0296 | if Z set: jmp @fetch
0297 | pc + extended(dr[22:0]) -> pc
0298 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0299 | dr[22:0] -> ar
0300 | mem(ar)[31:0] -> dr
0301 | dr[22:0] -> ar
0302 | mem(ar)[7:0] -> dr
0303 | dr[7:0] -> acc
0304 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0305 | dr[22:0] -> output address
0306 | acc -> output
0307 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0308 | dr[22:0] + pc -> ar
0309 | mem(ar)[31:0] -> dr
0310 | dr[31:0] -> acc
0311 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0312 | acc + 1 -> acc
0313 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0314 | dr[22:0] + pc -> ar
0315 | acc[31:0] -> mem(ar)
0316 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0317 | acc - extended(dr[22:0]) -> acc
0318 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0319 | acc - extended(dr[22:0]) -> acc
0320 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0321 | dr[22:0] + pc -> ar
0322 | mem(ar)[31:0] -> dr
0323 | acc - mem(ar) -> acc
0324 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0325 | if Z set: jmp @fetch
